,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,6/15/21 06:39:03,STOCK,BUY,+50,TO OPEN,ALF,,,STOCK,5.0799,5.08,MKT
,6/15/21 06:38:56,STOCK,BUY,+25,TO OPEN,ALF,,,STOCK,4.9998,5.00,MKT
,6/14/21 07:18:29,STOCK,SELL,-4,TO CLOSE,NOVN,,,STOCK,19.2004,19.20,MKT
,6/14/21 07:06:14,STOCK,BUY,+4,TO OPEN,NOVN,,,STOCK,19.24,19.24,MKT
,6/14/21 06:59:52,STOCK,SELL,-10,TO CLOSE,ORPH,,,STOCK,11.85,11.85,MKT
,6/14/21 06:56:51,STOCK,BUY,+10,TO OPEN,ORPH,,,STOCK,12.36,12.36,MKT
,6/14/21 06:56:40,STOCK,SELL,-15,TO CLOSE,ENOB,,,STOCK,11.13,11.13,MKT
,6/14/21 06:56:38,STOCK,SELL,-15,TO CLOSE,ENOB,,,STOCK,11.18,11.18,STP
,6/14/21 06:56:38,STOCK,SELL,-10,TO CLOSE,ENOB,,,STOCK,11.26,11.26,STP
,6/14/21 06:54:19,STOCK,BUY,+10,TO OPEN,ENOB,,,STOCK,12.26,12.26,LMT
,6/14/21 06:53:45,STOCK,BUY,+15,TO OPEN,ENOB,,,STOCK,12.1868,12.18667,LMT
,6/14/21 06:52:30,STOCK,BUY,+15,TO OPEN,ENOB,,,STOCK,12.0599,12.06,LMT
,6/14/21 06:51:09,STOCK,SELL,-10,TO CLOSE,ENOB,,,STOCK,11.48,11.48,MKT
,6/14/21 06:51:01,STOCK,SELL,-10,TO CLOSE,ENOB,,,STOCK,11.56,11.56,LMT
,6/14/21 06:50:56,STOCK,SELL,-10,TO CLOSE,ENOB,,,STOCK,11.5801,11.58,LMT
,6/14/21 06:49:43,STOCK,SELL,-10,TO CLOSE,ORPH,,,STOCK,11.925,11.925,MKT
,6/14/21 06:48:17,STOCK,BUY,+10,TO OPEN,ENOB,,,STOCK,11.9779,11.978,LMT
,6/14/21 06:48:10,STOCK,BUY,+10,TO OPEN,ENOB,,,STOCK,11.9468,11.947,LMT
,6/14/21 06:48:04,STOCK,BUY,+10,TO OPEN,ENOB,,,STOCK,11.9899,11.99,LMT
,6/14/21 06:46:00,STOCK,BUY,+10,TO OPEN,ORPH,,,STOCK,12.1001,12.10,MKT
,6/14/21 06:45:17,STOCK,SELL,-10,TO CLOSE,ENOB,,,STOCK,11.1185,11.118,MKT
,6/14/21 06:44:54,STOCK,BUY,+10,TO OPEN,ENOB,,,STOCK,11.7699,11.77,LMT
,6/11/21 06:52:21,STOCK,SELL,-1,TO CLOSE,NOVN,,,STOCK,16.95,16.95,LMT
,6/11/21 06:52:16,STOCK,SELL,-10,TO CLOSE,NOVN,,,STOCK,16.99,16.99,LMT
,6/11/21 06:52:07,STOCK,SELL,-10,TO CLOSE,NOVN,,,STOCK,16.87,16.87,LMT
,6/11/21 06:51:41,STOCK,BUY,+10,TO OPEN,NOVN,,,STOCK,16.38,16.38,MKT
,6/11/21 06:49:03,STOCK,BUY,+10,TO OPEN,NOVN,,,STOCK,16.53,16.53,MKT
,6/11/21 06:47:53,STOCK,BUY,+1,TO OPEN,NOVN,,,STOCK,16.2099,16.21,MKT
,6/11/21 06:39:12,STOCK,SELL,-1,TO CLOSE,NOVN,,,STOCK,15.08,15.08,LMT
,6/11/21 06:39:06,STOCK,SELL,-5,TO CLOSE,NOVN,,,STOCK,14.79,14.79,LMT
,6/11/21 06:39:03,STOCK,SELL,-10,TO CLOSE,NOVN,,,STOCK,14.99,14.99,LMT
,6/11/21 06:38:52,STOCK,SELL,-10,TO CLOSE,NOVN,,,STOCK,14.87,14.87,LMT
,6/11/21 06:38:39,STOCK,BUY,+10,TO OPEN,NOVN,,,STOCK,14.8474,14.847,LMT
,6/11/21 06:38:36,STOCK,BUY,+10,TO OPEN,NOVN,,,STOCK,14.79,14.79,LMT
,6/11/21 06:38:19,STOCK,SELL,-10,TO CLOSE,NOVN,,,STOCK,14.38,14.38,LMT
,6/11/21 06:38:06,STOCK,BUY,+10,TO OPEN,NOVN,,,STOCK,14.4199,14.42,LMT
,6/11/21 06:37:44,STOCK,BUY,+5,TO OPEN,NOVN,,,STOCK,14.13,14.13,MKT
,6/11/21 06:35:18,STOCK,BUY,+1,TO OPEN,NOVN,,,STOCK,14.08,14.08,MKT
,6/10/21 07:11:17,STOCK,SELL,-5,TO CLOSE,MEDS,,,STOCK,6.8101,6.81,MKT
,6/10/21 07:10:30,STOCK,BUY,+5,TO OPEN,MEDS,,,STOCK,6.9099,6.91,MKT
,6/10/21 07:04:28,STOCK,SELL,-1,TO CLOSE,MEDS,,,STOCK,7.17,7.17,MKT
,6/10/21 07:03:38,STOCK,BUY,+1,TO OPEN,MEDS,,,STOCK,6.8599,6.86,MKT
,6/10/21 06:45:18,STOCK,SELL,-5,TO CLOSE,MEDS,,,STOCK,7.02,7.02,MKT
,6/10/21 06:45:00,STOCK,SELL,-5,TO CLOSE,MEDS,,,STOCK,6.87,6.87,LMT
,6/10/21 06:44:56,STOCK,SELL,-15,TO CLOSE,MEDS,,,STOCK,6.9819,6.982,LMT
,6/10/21 06:44:53,STOCK,SELL,-50,TO CLOSE,MEDS,,,STOCK,6.70,6.70,LMT
,6/10/21 06:44:46,STOCK,SELL,-50,TO CLOSE,MEDS,,,STOCK,6.67,6.67,LMT
,6/10/21 06:44:41,STOCK,SELL,-50,TO CLOSE,MEDS,,,STOCK,6.59,6.59,LMT
,6/10/21 06:41:04,STOCK,BUY,+50,TO OPEN,MEDS,,,STOCK,6.5199,6.52,LMT
,6/10/21 06:41:04,STOCK,BUY,+42,TO OPEN,MEDS,,,STOCK,6.52,6.52,LMT
,6/10/21 06:41:04,STOCK,BUY,+8,TO OPEN,MEDS,,,STOCK,6.52,6.52,LMT
,6/10/21 06:41:03,STOCK,BUY,+50,TO OPEN,MEDS,,,STOCK,6.60,6.60,LMT
,6/10/21 06:41:00,STOCK,BUY,+25,TO OPEN,MEDS,,,STOCK,6.50,6.50,LMT
,6/10/21 06:40:23,STOCK,SELL,-4,TO CLOSE,MEDS,,,STOCK,5.95,5.95,MKT
,6/10/21 06:36:17,STOCK,BUY,+3,TO OPEN,MEDS,,,STOCK,6.22,6.22,MKT
,6/10/21 06:35:02,STOCK,BUY,+1,TO OPEN,MEDS,,,STOCK,6.2899,6.29,MKT
,6/10/21 06:33:07,STOCK,SELL,-2,TO CLOSE,MEDS,,,STOCK,6.74,6.74,MKT
,6/10/21 06:32:19,STOCK,BUY,+2,TO OPEN,MEDS,,,STOCK,6.4299,6.43,MKT
,6/8/21 07:06:16,STOCK,SELL,-10,TO CLOSE,CLOV,,,STOCK,17.85,17.85,MKT
,6/8/21 07:04:58,STOCK,BUY,+10,TO OPEN,CLOV,,,STOCK,18.05,18.05,MKT
,6/8/21 07:04:14,STOCK,SELL,-12,TO CLOSE,CLOV,,,STOCK,17.54,17.54,MKT
,6/8/21 07:03:15,STOCK,SELL,-25,TO CLOSE,NEXT,,,STOCK,5.351,5.3512,MKT
,6/8/21 07:01:31,STOCK,BUY,+25,TO OPEN,NEXT,,,STOCK,5.4798,5.48,MKT
,6/8/21 06:57:37,STOCK,SELL,-10,TO CLOSE,NEXT,,,STOCK,5.1502,5.15,MKT
,6/8/21 06:53:58,STOCK,BUY,+10,TO OPEN,NEXT,,,STOCK,5.415,5.415,MKT
,6/8/21 06:50:54,STOCK,SELL,-10,TO CLOSE,NEXT,,,STOCK,5.555,5.555,MKT
,6/8/21 06:50:03,STOCK,BUY,+10,TO OPEN,NEXT,,,STOCK,5.7599,5.76,MKT
,6/8/21 06:49:03,STOCK,SELL,-10,TO CLOSE,NEXT,,,STOCK,5.5801,5.58,MKT
,6/8/21 06:48:25,STOCK,BUY,+10,TO OPEN,NEXT,,,STOCK,5.67,5.67,MKT
,6/8/21 06:46:49,STOCK,BUY,+10,TO OPEN,CLOV,,,STOCK,17.9786,17.979,LMT
,6/8/21 06:45:50,STOCK,BUY,+2,TO OPEN,CLOV,,,STOCK,17.58,17.58,MKT
,6/8/21 06:41:23,STOCK,SELL,-10,TO CLOSE,NEXT,,,STOCK,5.15,5.15,LMT
,6/8/21 06:40:47,STOCK,BUY,+10,TO OPEN,NEXT,,,STOCK,4.9483,4.948,MKT
,6/8/21 06:36:09,STOCK,SELL,-3,TO CLOSE,CLOV,,,STOCK,16.91,16.91,MKT
,6/8/21 06:34:07,STOCK,BUY,+1,TO OPEN,CLOV,,,STOCK,17.54,17.54,MKT
,6/8/21 06:33:24,STOCK,BUY,+1,TO OPEN,CLOV,,,STOCK,18.04,18.04,MKT
,6/8/21 06:33:12,STOCK,BUY,+1,TO OPEN,CLOV,,,STOCK,18.15,18.15,MKT
,6/7/21 06:58:51,STOCK,SELL,-1,TO CLOSE,LEDS,,,STOCK,25.42,25.42,MKT
,6/7/21 06:55:25,STOCK,SELL,-90,TO CLOSE,RMED,,,STOCK,7.9406,7.94056,MKT
,6/7/21 06:54:28,STOCK,BUY,+15,TO OPEN,RMED,,,STOCK,8.1599,8.16,LMT
,6/7/21 06:52:55,STOCK,BUY,+50,TO OPEN,RMED,,,STOCK,8.18,8.18,LMT
,6/7/21 06:52:37,STOCK,BUY,+25,TO OPEN,RMED,,,STOCK,8.0694,8.0696,LMT
,6/7/21 06:49:54,STOCK,BUY,+1,TO OPEN,LEDS,,,STOCK,26.4699,26.47,MKT
,6/7/21 06:36:17,STOCK,SELL,-10,TO CLOSE,LEDS,,,STOCK,27.70,27.70,STP
,6/7/21 06:36:17,STOCK,SELL,-5,TO CLOSE,LEDS,,,STOCK,27.71,27.71,STP
,6/7/21 06:35:40,STOCK,BUY,+10,TO OPEN,LEDS,,,STOCK,29.765,29.765,LMT
,6/7/21 06:35:36,STOCK,BUY,+5,TO OPEN,LEDS,,,STOCK,29.75,29.75,LMT
,6/7/21 06:34:12,STOCK,SELL,-5,TO CLOSE,LEDS,,,STOCK,28.895,28.896,MKT
,6/7/21 06:33:45,STOCK,BUY,+5,TO OPEN,LEDS,,,STOCK,29.6099,29.61,MKT
,6/4/21 07:29:16,STOCK,SELL,-10,TO CLOSE,WINT,,,STOCK,3.1501,3.15,MKT
,6/4/21 07:28:57,STOCK,BUY,+10,TO OPEN,WINT,,,STOCK,3.2299,3.23,MKT
,6/4/21 07:24:29,STOCK,SELL,-5,TO CLOSE,WINT,,,STOCK,3.1202,3.12,LMT
,6/4/21 07:24:10,STOCK,BUY,+5,TO OPEN,WINT,,,STOCK,3.0699,3.07,LMT
,6/4/21 07:22:21,STOCK,SELL,-1,TO CLOSE,LEDS,,,STOCK,24.4901,24.49,MKT
,6/4/21 07:20:22,STOCK,BUY,+1,TO OPEN,LEDS,,,STOCK,25.05,25.05,MKT
,6/4/21 06:49:01,STOCK,SELL,-12,TO CLOSE,LEDS,,,STOCK,22.86,22.86,LMT
,6/4/21 06:49:01,STOCK,SELL,-3,TO CLOSE,LEDS,,,STOCK,22.86,22.86,LMT
,6/4/21 06:48:37,STOCK,BUY,+15,TO OPEN,LEDS,,,STOCK,22.20,22.20,LMT
,6/4/21 06:45:33,STOCK,SELL,-5,TO CLOSE,AMC,,,STOCK,55.25,55.25,LMT
,6/4/21 06:41:39,STOCK,BUY,+5,TO OPEN,AMC,,,STOCK,53.2394,53.24,MKT
,6/3/21 07:02:54,STOCK,SELL,-100,TO CLOSE,GTT,,,STOCK,4.7102,4.7102,LMT
,6/3/21 06:52:36,STOCK,BUY,+100,TO OPEN,GTT,,,STOCK,4.3162,4.3162,LMT
,6/3/21 06:42:20,STOCK,SELL,-3,TO CLOSE,AMC,,,STOCK,50.74,50.74,MKT
,6/3/21 06:42:14,STOCK,SELL,-1,TO CLOSE,AMC,,,STOCK,51.51,51.51,STP
,6/3/21 06:42:14,STOCK,SELL,-4,TO CLOSE,AMC,,,STOCK,51.52,51.52,STP
,6/3/21 06:42:13,STOCK,SELL,-1,TO CLOSE,AMC,,,STOCK,51.95,51.95,STP
,6/3/21 06:39:01,STOCK,BUY,+3,TO OPEN,AMC,,,STOCK,56.9999,57.00,MKT
,6/3/21 06:35:49,STOCK,BUY,+5,TO OPEN,AMC,,,STOCK,61.9999,62.00,MKT
,6/3/21 06:34:46,STOCK,BUY,+1,TO OPEN,AMC,,,STOCK,59.95,59.95,MKT
,6/2/21 07:10:05,STOCK,SELL,-10,TO CLOSE,BCTX,,,STOCK,7.91,7.91,LMT
,6/2/21 07:01:23,STOCK,BUY,+10,TO OPEN,BCTX,,,STOCK,7.105,7.105,MKT
,6/2/21 06:54:29,STOCK,SELL,-15,TO CLOSE,BCTX,,,STOCK,6.875,6.87467,MKT
,6/2/21 06:54:01,STOCK,BUY,+5,TO OPEN,BCTX,,,STOCK,7.49,7.49,MKT
,6/2/21 06:53:34,STOCK,BUY,+10,TO OPEN,BCTX,,,STOCK,7.5999,7.60,MKT
,6/2/21 06:51:21,STOCK,SELL,-25,TO CLOSE,BCTX,,,STOCK,7.44,7.44,STP
,6/2/21 06:51:17,STOCK,BUY,+25,TO OPEN,BCTX,,,STOCK,7.7196,7.7196,MKT
,6/2/21 06:50:26,STOCK,SELL,-100,TO CLOSE,PEI,,,STOCK,3.26,3.26,STP
,6/2/21 06:47:24,STOCK,BUY,+100,TO OPEN,PEI,,,STOCK,3.3399,3.3399,LMT
,6/2/21 06:46:08,STOCK,SELL,-50,TO CLOSE,PEI,,,STOCK,3.2301,3.23,MKT
,6/2/21 06:45:43,STOCK,BUY,+50,TO OPEN,PEI,,,STOCK,3.2783,3.2784,LMT
,6/2/21 06:44:12,STOCK,SELL,-50,TO CLOSE,PEI,,,STOCK,3.2702,3.2702,MKT
,6/2/21 06:43:24,STOCK,BUY,+50,TO OPEN,PEI,,,STOCK,3.2887,3.2888,LMT
,6/2/21 06:39:51,STOCK,SELL,-60,TO CLOSE,PEI,,,STOCK,3.145,3.145,MKT
,6/2/21 06:39:15,STOCK,BUY,+50,TO OPEN,PEI,,,STOCK,3.3395,3.3396,LMT
,6/2/21 06:39:06,STOCK,BUY,+10,TO OPEN,PEI,,,STOCK,3.3099,3.31,MKT
,6/2/21 06:37:43,STOCK,SELL,-5,TO CLOSE,BCTX,,,STOCK,6.7501,6.75,MKT
,6/2/21 06:36:37,STOCK,BUY,+5,TO OPEN,BCTX,,,STOCK,6.89,6.89,MKT
,6/1/21 07:08:30,STOCK,SELL,-30,TO CLOSE,OEG,,,STOCK,6.1401,6.14,MKT
,6/1/21 07:07:42,STOCK,BUY,+25,TO OPEN,OEG,,,STOCK,6.2297,6.2296,LMT
,6/1/21 07:07:28,STOCK,BUY,+5,TO OPEN,OEG,,,STOCK,6.1394,6.14,MKT
,6/1/21 07:03:27,STOCK,SELL,-10,TO CLOSE,OEG,,,STOCK,6.1201,6.12,MKT
,6/1/21 07:03:24,STOCK,SELL,-10,TO CLOSE,OEG,,,STOCK,6.285,6.285,LMT
,6/1/21 07:03:22,STOCK,SELL,-10,TO CLOSE,OEG,,,STOCK,6.2308,6.231,LMT
,6/1/21 07:01:42,STOCK,SELL,-25,TO CLOSE,ENG,,,STOCK,3.785,3.7848,MKT
,6/1/21 07:01:42,STOCK,SELL,-100,TO CLOSE,ENG,,,STOCK,3.80,3.80,LMT
,6/1/21 06:58:54,STOCK,BUY,+25,TO OPEN,ENG,,,STOCK,3.68,3.68,LMT
,6/1/21 06:58:52,STOCK,BUY,+100,TO OPEN,ENG,,,STOCK,3.7499,3.7499,LMT
,6/1/21 06:58:05,STOCK,BUY,+10,TO OPEN,OEG,,,STOCK,6.08,6.08,MKT
,6/1/21 06:58:03,STOCK,BUY,+10,TO OPEN,OEG,,,STOCK,5.995,5.995,MKT
,6/1/21 06:58:01,STOCK,BUY,+10,TO OPEN,OEG,,,STOCK,5.89,5.89,MKT
,6/1/21 06:56:21,STOCK,SELL,-10,TO CLOSE,ENG,,,STOCK,3.60,3.60,STP
,6/1/21 06:55:59,STOCK,BUY,+10,TO OPEN,ENG,,,STOCK,3.695,3.695,MKT
,6/1/21 06:49:12,STOCK,SELL,-25,TO CLOSE,WPG,,,STOCK,3.2601,3.26,MKT
,6/1/21 06:48:37,STOCK,BUY,+25,TO OPEN,WPG,,,STOCK,3.3599,3.36,LMT
,5/28/21 06:34:25,STOCK,SELL,-10,TO CLOSE,AMC,,,STOCK,35.8801,35.88,LMT
,5/28/21 06:34:21,STOCK,SELL,-10,TO CLOSE,AMC,,,STOCK,35.29,35.29,LMT
,5/28/21 06:34:16,STOCK,BUY,+10,TO OPEN,AMC,,,STOCK,34.2884,34.288,LMT
,5/28/21 06:33:44,STOCK,BUY,+10,TO OPEN,AMC,,,STOCK,34.3699,34.37,LMT
,5/28/21 06:33:18,STOCK,SELL,-5,TO CLOSE,AMC,,,STOCK,34.18,34.18,LMT
,5/28/21 06:33:10,STOCK,BUY,+5,TO OPEN,AMC,,,STOCK,33.1734,33.174,MKT
,5/26/21 06:45:37,STOCK,SELL,-150,TO CLOSE,PTIX,,,STOCK,3.40,3.40,STP
,5/26/21 06:40:07,STOCK,BUY,+25,TO OPEN,PTIX,,,STOCK,3.8499,3.85,MKT
,5/26/21 06:40:02,STOCK,BUY,+25,TO OPEN,PTIX,,,STOCK,3.765,3.7648,MKT
,5/26/21 06:39:03,STOCK,BUY,+50,TO OPEN,PTIX,,,STOCK,3.7699,3.77,LMT
,5/26/21 06:38:21,STOCK,BUY,+25,TO OPEN,PTIX,,,STOCK,3.69,3.69,LMT
,5/26/21 06:37:17,STOCK,BUY,+25,TO OPEN,PTIX,,,STOCK,3.79,3.79,LMT
,5/25/21 08:07:45,STOCK,SELL,-50,TO CLOSE,PIRS,,,STOCK,2.755,2.755,MKT
,5/25/21 08:05:43,STOCK,BUY,+50,TO OPEN,PIRS,,,STOCK,2.7899,2.79,LMT
,5/25/21 08:00:57,STOCK,SELL,-10,TO CLOSE,LEDS,,,STOCK,10.2601,10.26,MKT
,5/25/21 08:00:56,STOCK,SELL,-15,TO CLOSE,LEDS,,,STOCK,10.32,10.32,STP
,5/25/21 07:58:26,STOCK,BUY,+15,TO OPEN,LEDS,,,STOCK,10.9199,10.92,LMT
,5/25/21 07:58:00,STOCK,BUY,+10,TO OPEN,LEDS,,,STOCK,11.1499,11.15,LMT
,5/25/21 07:57:46,STOCK,SELL,-10,TO CLOSE,LEDS,,,STOCK,10.8801,10.88,MKT
,5/25/21 07:57:31,STOCK,BUY,+10,TO OPEN,LEDS,,,STOCK,10.94,10.94,LMT
,5/25/21 07:08:17,STOCK,SELL,-50,TO CLOSE,PIRS,,,STOCK,2.5701,2.57,MKT
,5/25/21 07:07:38,STOCK,BUY,+50,TO OPEN,PIRS,,,STOCK,2.6199,2.62,LMT
,5/25/21 06:59:37,STOCK,SELL,-50,TO CLOSE,PIRS,,,STOCK,2.6002,2.6002,MKT
,5/25/21 06:59:16,STOCK,BUY,+50,TO OPEN,PIRS,,,STOCK,2.6398,2.6398,LMT
,5/25/21 06:58:33,STOCK,SELL,-10,TO CLOSE,PIRS,,,STOCK,2.5904,2.59,MKT
,5/25/21 06:58:20,STOCK,SELL,-50,TO CLOSE,PIRS,,,STOCK,2.6101,2.61,LMT
,5/25/21 06:57:54,STOCK,BUY,+50,TO OPEN,PIRS,,,STOCK,2.6099,2.61,LMT
,5/25/21 06:57:00,STOCK,BUY,+10,TO OPEN,PIRS,,,STOCK,2.605,2.605,MKT
,5/25/21 06:49:07,STOCK,SELL,-100,TO CLOSE,PIRS,,,STOCK,2.4802,2.4802,MKT
,5/25/21 06:49:06,STOCK,SELL,-100,TO CLOSE,PIRS,,,STOCK,2.4701,2.4701,LMT
,5/25/21 06:47:46,STOCK,BUY,+100,TO OPEN,PIRS,,,STOCK,2.4298,2.4298,LMT
,5/25/21 06:47:34,STOCK,BUY,+50,TO OPEN,PIRS,,,STOCK,2.42,2.42,LMT
,5/25/21 06:47:32,STOCK,BUY,+50,TO OPEN,PIRS,,,STOCK,2.4099,2.41,LMT
,5/25/21 06:42:07,STOCK,SELL,-10,TO CLOSE,TIGR,,,STOCK,20.6413,20.641,MKT
,5/25/21 06:41:43,STOCK,BUY,+5,TO OPEN,TIGR,,,STOCK,20.6994,20.70,LMT
,5/25/21 06:41:09,STOCK,BUY,+5,TO OPEN,TIGR,,,STOCK,20.355,20.356,MKT
,5/24/21 09:26:22,STOCK,SELL,-15,TO CLOSE,OBLN,,,STOCK,4.44,4.44,STP
,5/24/21 09:25:40,STOCK,BUY,+14,TO OPEN,OBLN,,,STOCK,4.5198,4.52,MKT
,5/24/21 09:25:40,STOCK,BUY,+1,TO OPEN,OBLN,,,STOCK,4.5198,4.52,MKT
,5/24/21 09:23:07,STOCK,SELL,-50,TO CLOSE,OBLN,,,STOCK,4.5201,4.52,MKT
